knn_k,val_accuracy_mean,val_accuracy_ci,val_macro_f1_mean,val_macro_f1_ci,test_accuracy_mean,test_accuracy_ci,test_macro_f1_mean,test_macro_f1_ci
5,0.6967351874244256,0.006757260457815115,0.6995284155794592,0.0069761007976127856,0.6744800902788973,0.002683343965270776,0.6782457908071146,0.002706144675328252
10,0.7001209189842805,0.003908789133234934,0.7027389704814199,0.0039547488682452545,0.678832822827664,0.001706748434955277,0.6822591971605253,0.0017914661428169445
15,0.7012494961708988,0.004178243187996265,0.7041112619888812,0.004174982721156132,0.6818313719168143,0.004848946142861872,0.6850060154318365,0.004950487277775022
20,0.702055622732769,0.00351042643342608,0.7049394586755451,0.0035232560239885917,0.6836047073996453,0.0018433178726339297,0.6869635597250074,0.001803213831212245
30,0.7014107214832729,0.0029692629310632376,0.7039096519587149,0.002731515165118382,0.6810253103337094,0.0038752711837297445,0.6842409911807937,0.004084557894383698
50,0.7047964530431278,0.0027999449551890146,0.7071226744293697,0.0026828070330234986,0.6826696759632436,0.0064578202074917455,0.6856775387023942,0.0065985912308871054
100,0.7062474808544941,0.0024364163079619154,0.7085412603955653,0.00237862260895675,0.6810575527970337,0.003979840938209811,0.6839330721985362,0.003681052277764378
